Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2020,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187
SURVEY,2020,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,188
SURVEY,2020,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189
SURVEY,2020,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189
SURVEY,2020,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186
SURVEY,2019,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,169
SURVEY,2019,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,166
SURVEY,2019,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,165
SURVEY,2019,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,162
SURVEY,2019,YEAR - SEP FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,161
SURVEY,2018,YEAR,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,189
SURVEY,2018,YEAR - AUG FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,186
SURVEY,2018,YEAR - NOV FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,194
SURVEY,2018,YEAR - OCT FORECAST,STATE,INDIANA,18,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,194
